ID,start_X,start_Y,start_Z,start_node_type,start_node_id,end_X,end_Y,end_Z,end_node_type,end_node_id,Edge_Length,Length_Adjusted_m,LED_Ring_Diameter_m,strip_start_x,strip_start_y,strip_start_z,strip_end_x,strip_end_y,strip_end_z,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID
1,1.7463,25.90800000000001,4.8577,Intercom,1,4.572006,28.956002000000005,2.8925,ArtNet,2,4.60,3.80,0.80,1.992148,26.173188,4.686720,4.326158,28.690814,3.063480,2,1
2,1.8852,54.254400000000004,4.8577,Intercom,3,4.571999,51.20640100000001,2.8925,ArtNet,4,4.51,3.71,0.80,2.123315,53.984274,4.683536,4.333884,51.476527,3.066664,4,3
3,4.571999,16.764001000000007,2.8925,ArtNet,5,4.571999,10.668000000000006,2.8925,ArtNet,6,6.10,5.30,0.80,4.571999,16.364001,2.892500,4.571999,11.068000,2.892500,6,5
4,4.571999,10.668000000000006,2.8925,ArtNet,6,10.667999,4.571999000000005,2.7914,Regular,7,8.62,7.82,0.80,4.854822,10.385177,2.887809,10.385176,4.854822,2.796091,6,7
5,4.571999,69.494399,2.8925,Regular,8,10.667999,69.49440100000001,1.0668,ArtNet,9,6.36,5.56,0.80,4.955183,69.494399,2.777740,10.284815,69.494401,1.181560,9,8
6,4.571999,51.20640100000001,2.8925,ArtNet,4,10.667999,51.206399000000005,1.0668,Regular,10,6.36,5.56,0.80,4.955183,51.206401,2.777740,10.284815,51.206399,1.181560,4,10
7,10.667999,16.764001000000007,1.0668,ArtNet,11,10.667999,22.860001000000004,1.0668,ArtNet,12,6.10,5.30,0.80,10.667999,17.164001,1.066800,10.667999,22.460001,1.066800,11,12
8,10.667999,4.571999000000005,2.7914,Regular,7,16.764,10.668000000000006,1.0668,ArtNet,13,8.79,7.99,0.80,10.945347,4.849347,2.712936,16.486652,10.390652,1.145264,13,7
9,10.667999,63.39840000000001,1.0668,ArtNet,14,10.667999,57.302397000000006,1.0668,Regular,15,6.10,5.30,0.80,10.667999,62.998400,1.066800,10.667999,57.702397,1.066800,14,15
10,10.667999,69.49440100000001,1.0668,ArtNet,9,10.667999,75.590399,2.7506,ArtNet,16,6.32,5.52,0.80,10.667999,69.879963,1.173298,10.667999,75.204837,2.644102,16,9
