ID,start_X,start_Y,start_Z,start_node_type,end_X,end_Y,end_Z,end_node_type,Edge_Length,Length_Adjusted_m,LED_Ring_Diameter_m,strip_start_x,strip_start_y,strip_start_z,strip_end_x,strip_end_y,strip_end_z,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID
34,35.052006,41.148,1.0668,ArtNet,35.052006,35.051999,1.0668,ArtNet,6.10,5.30,0.80,35.052006,40.748000,1.066800,35.052006,35.451999,1.066800,39,45
35,35.052002,57.30239900000001,1.0668,ArtNet,28.956001,57.30239900000001,1.0668,ArtNet,6.10,5.30,0.80,34.652002,57.302399,1.066800,29.356001,57.302399,1.066800,35,41
36,35.052002,69.49440100000001,1.0668,ArtNet,28.956001,63.39840000000001,1.0668,Regular,8.62,7.82,0.80,34.769159,69.211558,1.066800,29.238844,63.681243,1.066800,46,42
37,35.052002,75.590399,2.7506,ArtNet,32.004,78.4162,4.8577,Intercom,4.66,3.86,0.80,34.790369,75.832958,2.931468,32.265633,78.173641,4.676832,47,44
38,35.052006,22.860001000000004,1.0668,ArtNet,28.955994,22.860001000000004,1.0668,ArtNet,6.10,5.30,0.80,34.652006,22.860001,1.066800,29.355994,22.860001,1.066800,48,37
39,35.052006,16.764001000000007,1.0668,ArtNet,28.955994,10.667991999999998,1.0668,Regular,8.62,7.82,0.80,34.769163,16.481158,1.066800,29.238837,10.950835,1.066800,49,33
40,41.147999,41.148,1.0668,Regular,41.147999,45.110398,1.0668,ArtNet,3.96,3.16,0.80,41.147999,41.548000,1.066800,41.147999,44.710398,1.066800,51,50
41,41.148003,51.20640100000001,1.0668,ArtNet,41.147999,45.110398,1.0668,ArtNet,6.10,5.30,0.80,41.148003,50.806401,1.066800,41.147999,45.510398,1.066800,51,52
42,41.147999,69.49440000000001,1.0668,Regular,35.052002,69.49440100000001,1.0668,ArtNet,6.10,5.30,0.80,40.747999,69.494400,1.066800,35.452002,69.494401,1.066800,46,53
43,41.147999,16.764001000000007,1.0668,ArtNet,41.147999,10.667991999999998,1.0668,Regular,6.10,5.30,0.80,41.147999,16.364001,1.066800,41.147999,11.067992,1.066800,54,55
44,41.147999,28.955998000000008,1.0668,Regular,35.052006,22.860001000000004,1.0668,ArtNet,8.62,7.82,0.80,40.865156,28.673155,1.066800,35.334849,23.142844,1.066800,48,56
45,41.147999,10.667991999999998,1.0668,Regular,47.243999,10.667991999999998,1.0668,ArtNet,6.10,5.30,0.80,41.547999,10.667992,1.066800,46.843999,10.667992,1.066800,57,55
46,47.243999,35.051999,1.0668,ArtNet,51.206402,28.955998000000008,1.0668,ArtNet,7.27,6.47,0.80,47.461994,34.716622,1.066800,50.988407,29.291375,1.066800,58,59
47,47.244003,51.20640100000001,1.0668,Regular,51.206402,57.30239900000001,1.0668,ArtNet,7.27,6.47,0.80,47.461998,51.541778,1.066800,50.988407,56.967022,1.066800,61,60
48,47.243999,69.49440100000001,1.0668,ArtNet,51.206402,75.590399,2.7506,ArtNet,7.46,6.66,0.80,47.456374,69.821131,1.157047,50.994027,75.263669,2.660353,63,62
49,47.243999,22.860001000000004,1.0668,ArtNet,51.206402,28.955998000000008,1.0668,ArtNet,7.27,6.47,0.80,47.461995,23.195378,1.066800,50.988406,28.620621,1.066800,59,64
50,47.243999,10.667991999999998,1.0668,ArtNet,51.206398,4.571999000000005,2.7914,Regular,7.47,6.67,0.80,47.456109,10.341669,1.159119,50.994288,4.898322,2.699081,57,65
51,51.206402,16.764001000000007,1.0668,Regular,47.243999,22.860001000000004,1.0668,ArtNet,7.27,6.47,0.80,50.988407,17.099378,1.066800,47.461994,22.524624,1.066800,64,66
52,51.206402,63.39840000000001,1.0668,ArtNet,47.243999,69.49440100000001,1.0668,ArtNet,7.27,6.47,0.80,50.988407,63.733777,1.066800,47.461994,69.159024,1.066800,67,62
53,51.206402,57.30239900000001,1.0668,ArtNet,51.206406,51.20640100000001,1.0668,Regular,6.10,5.30,0.80,51.206402,56.902399,1.066800,51.206406,51.606401,1.066800,61,68
54,51.206402,41.148,1.0668,ArtNet,47.243999,35.051999,1.0668,ArtNet,7.27,6.47,0.80,50.988407,40.812623,1.066800,47.461994,35.387376,1.066800,69,58
55,51.206398,4.571999000000005,2.7914,Regular,57.302399,10.668000000000006,1.0668,ArtNet,8.79,7.99,0.80,51.483746,4.849347,2.712936,57.025051,10.390652,1.145264,70,65
56,51.206406,51.20640100000001,1.0668,Regular,57.302402,51.20640100000001,1.0668,ArtNet,6.10,5.30,0.80,51.606406,51.206401,1.066800,56.902402,51.206401,1.066800,71,68
57,51.206402,35.051999,1.0668,ArtNet,47.243999,35.051999,1.0668,ArtNet,3.96,3.16,0.80,50.806402,35.051999,1.066800,47.643999,35.051999,1.066800,72,58
58,57.302399,63.39840000000001,1.0668,Regular,63.398399,69.49440100000001,1.0668,ArtNet,8.62,7.82,0.80,57.585242,63.681243,1.066800,63.115556,69.211558,1.066800,74,73
59,57.302399,35.051999,1.0668,Regular,51.206402,35.051999,1.0668,ArtNet,6.10,5.30,0.80,56.902399,35.051999,1.066800,51.606402,35.051999,1.066800,72,75
60,57.302399,45.110398,1.0668,Regular,57.302402,51.20640100000001,1.0668,ArtNet,6.10,5.30,0.80,57.302399,45.510398,1.066800,57.302402,50.806401,1.066800,71,76
61,57.302399,28.955998000000008,1.0668,Regular,63.398399,22.860001000000004,1.0668,ArtNet,8.62,7.82,0.80,57.585242,28.673155,1.066800,63.115556,23.142844,1.066800,78,77
