ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z
144,51.21,28.96,0,51.21,35.05,0
145,51.21,28.96,0,51.21,22.86,0
146,57.30,22.86,0,51.21,22.86,0
147,51.21,22.86,0,57.30,16.76,0
148,57.30,16.76,0,57.30,10.67,0
149,57.30,4.57,0,57.30,10.67,0
150,57.30,4.57,0,54.47,1.93,0
151,28.96,75.59,0,26.48,78.30,0
152,26.48,78.30,0,22.86,75.59,0
153,81.69,4.57,0,79.29,2.09,0
154,22.86,69.49,0,22.86,75.59,0
155,22.86,57.30,0,28.96,63.40,0
156,22.86,57.30,0,28.96,51.21,0
157,28.96,51.21,0,28.96,45.11,0
158,28.96,39.01,0,28.96,45.11,0
159,22.86,35.05,0,28.96,39.01,0
160,22.86,35.05,0,22.86,28.96,0
161,22.86,28.96,0,28.96,22.86,0
162,22.86,16.76,0,28.96,22.86,0
163,28.96,22.86,0,28.96,16.76,0
164,28.96,16.76,0,22.86,10.67,0
165,22.86,4.57,0,22.86,10.67,0
166,22.86,4.57,0,25.64,1.93,0
167,4.57,22.86,0,2.80,20.14,0
168,4.57,22.86,0,10.67,22.86,0
169,16.76,22.86,0,10.67,22.86,0
170,16.76,22.86,0,22.86,16.76,0
171,35.05,16.76,0,28.96,22.86,0
172,41.15,16.76,0,47.24,16.76,0
173,51.21,22.86,0,47.24,16.76,0
174,63.40,16.76,0,69.49,22.86,0
175,75.59,22.86,0,69.49,22.86,0
176,22.86,39.01,0,16.76,39.01,0
177,16.76,39.01,0,10.67,45.11,0
178,10.67,45.11,0,4.57,39.01,0
179,4.57,39.01,0,2.80,42.49,0
180,22.86,39.01,0,28.96,45.11,0
181,35.05,45.11,0,28.96,45.11,0
182,35.05,45.11,0,41.15,39.01,0
183,47.24,39.01,0,41.15,39.01,0
184,57.30,45.11,0,63.40,45.11,0
185,69.49,39.01,0,63.40,45.11,0
186,69.49,39.01,0,75.59,45.11,0
187,81.69,45.11,0,75.59,45.11,0
188,4.57,57.30,0,2.80,60.19,0
189,4.57,57.30,0,10.67,63.40,0
190,10.67,63.40,0,16.76,57.30,0
191,16.76,57.30,0,22.86,63.40,0
192,28.96,63.40,0,22.86,63.40,0
193,28.96,63.40,0,35.05,63.40,0
194,41.15,57.30,0,35.05,63.40,0
195,51.21,63.40,0,47.24,57.30,0
196,51.21,63.40,0,57.30,57.30,0
197,63.40,57.30,0,69.49,57.30,0
198,75.59,63.40,0,69.49,57.30,0
199,75.59,63.40,0,81.69,63.40,0
200,81.69,63.40,0,87.78,63.40,0
201,87.78,63.40,0,93.88,57.30,0
202,93.88,57.30,0,99.97,57.30,0
203,99.97,57.30,0,103.10,61.39,0
204,99.97,22.86,0,103.10,20.61,0
205,99.97,45.11,0,103.10,43.00,0
