ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Lengths(M)
92,51.070,39.224,1.067,47.380,44.901,1.067,6.771
93,47.494,45.112,1.067,51.118,45.130,1.067,3.624
94,41.148,38.764,1.067,41.148,35.302,1.067,3.462
95,51.618,45.131,1.067,57.052,45.111,1.067,5.435
96,51.421,4.739,2.703,57.130,10.494,1.115,8.261
97,10.491,75.411,2.794,4.751,69.671,2.890,8.118
98,4.574,69.244,2.893,4.574,63.648,2.893,5.596
99,4.814,10.668,2.821,10.429,10.668,1.139,5.861
100,10.668,10.427,1.133,10.668,4.815,2.684,5.822
101,10.918,4.574,2.751,16.514,4.574,2.751,5.596
102,28.956,75.347,2.723,28.956,69.735,1.135,5.833
103,28.783,75.415,2.742,23.033,69.668,1.116,8.290
104,16.587,69.318,1.067,10.845,63.575,1.067,8.121
105,10.668,63.148,1.067,10.668,57.552,1.067,5.596
106,10.918,57.302,1.067,16.514,57.302,1.067,5.596
107,4.747,51.033,2.841,10.495,45.283,1.119,8.311
108,16.764,34.802,1.067,16.764,29.206,1.067,5.596
109,16.974,35.188,1.067,22.650,38.878,1.067,6.771
110,16.514,28.956,1.067,10.918,28.956,1.067,5.596
111,16.941,28.779,1.067,22.683,23.037,1.067,8.121
112,29.206,22.860,1.067,34.802,22.860,1.067,5.596
113,35.229,23.037,1.067,40.971,28.779,1.067,8.121
114,29.166,35.188,1.067,34.842,38.878,1.067,6.771
115,35.052,39.264,1.067,35.052,44.860,1.067,5.596
116,28.956,51.456,1.067,28.956,57.052,1.067,5.596
117,28.779,57.126,1.067,23.037,51.383,1.067,8.121
118,35.052,57.552,1.067,35.052,63.148,1.067,5.596
119,35.302,63.398,1.067,40.898,63.398,1.067,5.596
120,41.148,63.648,1.067,41.148,69.244,1.067,5.596
121,57.552,69.494,1.067,63.148,69.494,1.067,5.596
122,47.067,57.126,1.067,41.325,51.383,1.067,8.121
123,47.380,57.093,1.067,51.070,51.416,1.067,6.771
124,51.456,51.206,1.067,57.052,51.206,1.067,5.596
125,63.648,57.302,1.067,69.244,57.302,1.067,5.596
126,69.671,57.479,1.067,75.414,63.222,1.067,8.121
127,63.572,69.668,1.116,69.321,75.415,2.742,8.290
128,75.764,75.415,2.742,81.513,69.668,1.116,8.290
129,93.628,57.302,1.067,88.032,57.302,1.067,5.596
130,75.414,51.030,1.067,69.671,45.287,1.067,8.121
131,69.318,44.934,1.067,63.575,39.191,1.067,8.121
132,63.189,38.878,1.067,57.512,35.188,1.067,6.771
133,57.302,34.802,1.067,57.302,29.206,1.067,5.596
134,57.052,28.956,1.067,51.456,28.956,1.067,5.596
135,51.070,23.070,1.067,47.380,28.746,1.067,6.771
136,51.070,16.554,1.067,47.380,10.878,1.067,6.771
137,46.994,10.668,1.067,41.398,10.668,1.067,5.596
138,35.052,10.427,1.133,35.052,4.815,2.684,5.822
139,10.845,16.587,1.067,16.587,10.845,1.067,8.121
140,23.034,10.495,1.115,28.782,4.748,2.703,8.282
141,75.590,23.110,1.067,75.590,28.706,1.067,5.596
142,75.767,23.037,1.067,81.510,28.779,1.067,8.121
143,81.863,28.779,1.067,87.606,23.037,1.067,8.121
144,94.119,28.956,1.136,99.732,28.956,2.741,5.838
145,87.782,35.302,1.067,87.782,38.764,1.067,3.462
146,88.032,39.014,1.067,93.628,39.014,1.067,5.596
147,99.799,22.687,2.760,94.052,16.937,1.116,8.294
148,63.222,10.845,1.067,57.479,16.587,1.067,8.121
149,47.067,44.934,1.067,41.325,39.191,1.067,8.121
