,px,py,pz
0,-29.115524291992200,6.0328450202941900,2.1739680767059300
1,-29.115524291992200,77.04875946044920,2.1739680767059300
2,-124.51544189453100,77.04875946044920,2.256882429122930
3,-124.51544189453100,6.032845497131350,2.256882429122930
4,-29.116758346557600,70.9540023803711,2.1739680767059300
5,-29.116758346557600,64.85800170898440,2.1739680767059300
6,-29.116758346557600,52.66600036621090,2.1739680767059300
7,-29.116758346557600,46.56999969482420,2.1739680767059300
8,-29.116758346557600,40.4739990234375,2.1739680767059300
9,-29.116758346557600,36.51160430908200,2.1739680767059300
10,-29.116758346557600,30.415599822998000,2.1739680767059300
11,-29.116758346557600,24.31960105896000,2.1739680767059300
12,-29.116758346557600,18.223600387573200,2.1739680767059300
13,-29.116758346557600,12.12760066986080,2.1739680767059300
14,-35.21028137207030,77.04752349853520,2.1557116508483900
15,-41.30628204345700,77.04752349853520,2.1557116508483900
16,-47.40228271484380,77.04752349853520,2.1557116508483900
17,-53.49828338623050,77.04752349853520,2.1557116508483900
18,-59.59428405761720,77.04752349853520,2.1557116508483900
19,-65.6902847290039,77.04752349853520,2.1557116508483900
20,-71.78628540039060,77.04752349853520,2.1557116508483900
21,-77.88228607177730,77.04752349853520,2.1557116508483900
22,-81.84468841552730,77.04752349853520,2.1557116508483900
23,-87.94068145751950,77.04752349853520,2.1557116508483900
24,-94.03668975830080,77.04752349853520,2.1557116508483900
25,-100.13268280029300,77.04752349853520,2.1557116508483900
26,-106.22868347168000,77.04752349853520,2.1557116508483900
27,-112.3246841430660,77.04752349853520,2.1557116508483900
28,-118.42068481445300,77.04752349853520,2.1557116508483900
29,-124.51420593261700,70.9540023803711,2.256882429122930
30,-124.51420593261700,64.85800170898440,2.256882429122930
31,-124.51420593261700,58.762001037597700,2.256882429122930
32,-124.51420593261700,52.66600036621090,2.256882429122930
33,-124.51420593261700,46.56999969482420,2.256882429122930
34,-124.51420593261700,40.4739990234375,2.256882429122930
35,-124.51420593261700,36.5115966796875,2.256882429122930
36,-124.51420593261700,30.415599822998000,2.256882429122930
37,-124.51420593261700,24.31960105896000,2.256882429122930
38,-124.51420593261700,18.223600387573200,2.256882429122930
39,-124.51420593261700,12.12760066986080,2.256882429122930
40,-118.42068481445300,6.034078598022460,2.1149849891662600
41,-112.3246841430660,6.034078598022460,2.1149849891662600
42,-106.22868347168000,6.034078598022460,2.1149849891662600
43,-100.13268280029300,6.034078598022460,2.1149849891662600
44,-94.03668212890630,6.034078598022460,2.1149849891662600
45,-87.94068145751950,6.034078598022460,2.1149849891662600
46,-81.84468841552730,6.034078598022460,2.1149849891662600
47,-77.88228607177730,6.034078598022460,2.1149849891662600
48,-71.78628540039060,6.034078598022460,2.1149849891662600
49,-65.6902847290039,6.034078598022460,2.1149849891662600
50,-59.59428405761720,6.034078598022460,2.1149849891662600
51,-53.49828338623050,6.034078598022460,2.1149849891662600
52,-47.40228271484380,6.034078598022460,2.1149849891662600
53,-41.30628204345700,6.034078598022460,2.1149849891662600
54,-35.21028137207030,6.034078598022460,2.1149849891662600
55,-118.42068481445300,12.12760066986080,0.0
56,-112.3246841430660,12.12760066986080,0.0
57,-106.22868347168000,12.12760066986080,0.0
58,-100.13268280029300,12.12760066986080,0.0
59,-94.03668212890630,12.12760066986080,0.0
60,-87.94068145751950,12.12760066986080,0.0
61,-81.84468841552730,12.12760066986080,0.0
62,-77.88228607177730,12.12760066986080,0.0
63,-59.59428405761720,12.12760066986080,0.0
64,-65.6902847290039,12.12760066986080,0.0
65,-47.40228271484380,12.12760066986080,0.0
66,-41.30628204345700,12.12760066986080,0.0
67,-53.49828338623050,12.12760066986080,0.0
68,-35.21028137207030,12.12760066986080,0.0
69,-71.78628540039060,12.12760066986080,0.0
70,-118.42068481445300,18.223600387573200,0.0
71,-47.40228271484380,18.223600387573200,0.0
72,-59.59428405761720,18.223600387573200,0.0
73,-65.6902847290039,18.223600387573200,0.0
74,-41.30628204345700,18.223600387573200,0.0
75,-53.49828338623050,18.223600387573200,0.0
76,-35.21028137207030,18.223600387573200,0.0
77,-71.78628540039060,18.223600387573200,0.0
78,-77.88228607177730,18.223600387573200,0.0
79,-81.84468841552730,18.223600387573200,0.0
80,-94.03668212890630,18.223600387573200,0.0
81,-112.3246841430660,18.223600387573200,0.0
82,-87.94068145751950,18.223600387573200,0.0
83,-100.13268280029300,18.223600387573200,0.0
84,-106.22868347168000,18.223600387573200,0.0
85,-94.03668212890630,24.31960105896000,0.0
86,-106.22868347168000,24.31960105896000,0.0
87,-100.13268280029300,24.31960105896000,0.0
88,-59.59428405761720,24.31960105896000,0.0
89,-112.3246841430660,24.31960105896000,0.0
90,-87.94068145751950,24.31960105896000,0.0
91,-77.88228607177730,24.31960105896000,0.0
92,-71.78628540039060,24.31960105896000,0.0
93,-35.21028137207030,24.31960105896000,0.0
94,-53.49828338623050,24.31960105896000,0.0
95,-41.30628204345700,24.31960105896000,0.0
96,-47.40228271484380,24.31960105896000,0.0
97,-65.6902847290039,24.31960105896000,0.0
98,-81.84468841552730,24.31960105896000,0.0
99,-118.42068481445300,24.31960105896000,0.0
100,-100.13268280029300,30.415599822998000,0.0
101,-94.03668212890630,30.415599822998000,0.0
102,-112.3246841430660,30.415599822998000,0.0
103,-87.94068145751950,30.415599822998000,0.0
104,-106.22868347168000,30.415599822998000,0.0
105,-65.6902847290039,30.415599822998000,0.0
106,-59.59428405761720,30.415599822998000,0.0
107,-118.42068481445300,30.415599822998000,0.0
108,-53.49828338623050,30.415599822998000,0.0
109,-35.21028137207030,30.415599822998000,0.0
110,-71.78628540039060,30.415599822998000,0.0
111,-47.40228271484380,30.415599822998000,0.0
112,-41.30628204345700,30.415599822998000,0.0
113,-77.88228607177730,30.415599822998000,0.0
114,-81.84468841552730,30.415599822998000,0.0
115,-59.59428405761720,36.51160430908200,0.0
116,-94.03668212890630,36.51160430908200,0.0
117,-35.21028137207030,36.51160430908200,0.0
118,-87.94068145751950,36.51160430908200,0.0
119,-47.40228271484380,36.51160430908200,0.0
120,-100.13268280029300,36.51160430908200,0.0
121,-81.84468841552730,36.51160430908200,0.0
122,-41.30628204345700,36.51160430908200,0.0
123,-112.3246841430660,36.51160430908200,0.0
124,-118.42068481445300,36.51160430908200,0.0
125,-65.6902847290039,36.51160430908200,0.0
126,-106.22868347168000,36.51160430908200,0.0
127,-53.49828338623050,36.51160430908200,0.0
128,-77.88228607177730,36.51160430908200,0.0
129,-71.78628540039060,36.51160430908200,0.0
130,-35.21028137207030,58.762001037597700,0.0
131,-87.94068145751950,58.762001037597700,0.0
132,-118.42068481445300,40.4739990234375,0.0
133,-94.03668212890630,64.85800170898440,0.0
134,-118.42068481445300,64.85800170898440,0.0
135,-65.6902847290039,64.85800170898440,0.0
136,-41.30628204345700,64.85800170898440,0.0
137,-112.3246841430660,64.85800170898440,0.0
138,-81.84468841552730,64.85800170898440,0.0
139,-47.40228271484380,64.85800170898440,0.0
140,-100.13268280029300,64.85800170898440,0.0
141,-87.94068145751950,64.85800170898440,0.0
142,-71.78628540039060,64.85800170898440,0.0
143,-35.21028137207030,64.85800170898440,0.0
144,-59.59428405761720,64.85800170898440,0.0
145,-100.13268280029300,58.762001037597700,0.0
146,-94.03668212890630,58.762001037597700,0.0
147,-106.22868347168000,58.762001037597700,0.0
148,-112.3246841430660,58.762001037597700,0.0
149,-53.49828338623050,64.85800170898440,0.0
150,-106.22868347168000,64.85800170898440,0.0
151,-71.78628540039060,58.762001037597700,0.0
152,-47.40228271484380,58.762001037597700,0.0
153,-41.30628204345700,58.762001037597700,0.0
154,-81.84468841552730,52.66600036621090,0.0
155,-77.88228607177730,58.762001037597700,0.0
156,-81.84468841552730,58.762001037597700,0.0
157,-59.59428405761720,40.4739990234375,0.0
158,-65.6902847290039,40.4739990234375,0.0
159,-47.40228271484380,40.4739990234375,0.0
160,-41.30628204345700,40.4739990234375,0.0
161,-53.49828338623050,40.4739990234375,0.0
162,-35.21028137207030,40.4739990234375,0.0
163,-71.78628540039060,40.4739990234375,0.0
164,-77.88228607177730,40.4739990234375,0.0
165,-81.84468841552730,40.4739990234375,0.0
166,-94.03668212890630,40.4739990234375,0.0
167,-112.3246841430660,40.4739990234375,0.0
168,-87.94068145751950,40.4739990234375,0.0
169,-118.42068481445300,46.56999969482420,0.0
170,-100.13268280029300,40.4739990234375,0.0
171,-106.22868347168000,40.4739990234375,0.0
172,-47.40228271484380,46.56999969482420,0.0
173,-59.59428405761720,46.56999969482420,0.0
174,-65.6902847290039,46.56999969482420,0.0
175,-41.30628204345700,46.56999969482420,0.0
176,-53.49828338623050,46.56999969482420,0.0
177,-35.21028137207030,46.56999969482420,0.0
178,-71.78628540039060,46.56999969482420,0.0
179,-77.88228607177730,46.56999969482420,0.0
180,-81.84468841552730,46.56999969482420,0.0
181,-94.03668212890630,46.56999969482420,0.0
182,-112.3246841430660,46.56999969482420,0.0
183,-87.94068145751950,46.56999969482420,0.0
184,-100.13268280029300,46.56999969482420,0.0
185,-106.22868347168000,46.56999969482420,0.0
186,-118.42068481445300,52.66600036621090,0.0
187,-41.30628204345700,52.66600036621090,0.0
188,-53.49828338623050,58.762001037597700,0.0
189,-65.6902847290039,52.66600036621090,0.0
190,-47.40228271484380,52.66600036621090,0.0
191,-87.94068145751950,52.66600036621090,0.0
192,-59.59428405761720,52.66600036621090,0.0
193,-35.21028137207030,52.66600036621090,0.0
194,-112.3246841430660,52.66600036621090,0.0
195,-100.13268280029300,52.66600036621090,0.0
196,-106.22868347168000,52.66600036621090,0.0
197,-118.42068481445300,58.762001037597700,0.0
198,-59.59428405761720,58.762001037597700,0.0
199,-94.03668212890630,52.66600036621090,0.0
200,-71.78628540039060,52.66600036621090,0.0
201,-77.88228607177730,64.85800170898440,0.0
202,-65.6902847290039,58.762001037597700,0.0
203,-77.88228607177730,52.66600036621090,0.0
204,-53.49828338623050,52.66600036621090,0.0
205,-106.22868347168000,70.9540023803711,0.0
206,-53.49828338623050,70.9540023803711,0.0
207,-59.59428405761720,70.9540023803711,0.0
208,-35.21028137207030,70.9540023803711,0.0
209,-71.78628540039060,70.9540023803711,0.0
210,-87.94068145751950,70.9540023803711,0.0
211,-100.13268280029300,70.9540023803711,0.0
212,-47.40228271484380,70.9540023803711,0.0
213,-81.84468841552730,70.9540023803711,0.0
214,-112.3246841430660,70.9540023803711,0.0
215,-41.30628204345700,70.9540023803711,0.0
216,-65.6902847290039,70.9540023803711,0.0
217,-118.42068481445300,70.9540023803711,0.0
218,-94.03668212890630,70.9540023803711,0.0
219,-77.88228607177730,70.9540023803711,0.0
