Edge ID,Edge Length,Start X,Start Y,Start Z,End X,End Y,End Z,Data Flow Start Node ID,Data Flow End Node ID,Type
83,8.63,57.3,22.86,0.0,63.4,16.76,0.0,73,72,Normal
84,6.09,63.4,16.76,0.0,63.4,10.67,0.0,73,74,Normal
85,8.63,63.4,10.67,0.0,57.3,4.57,0.0,75,74,Normal
86,6.09,57.3,4.57,0.0,51.21,4.57,0.0,75,76,Normal
87,8.63,75.59,51.21,0.0,69.49,45.11,0.0,47,77,Normal
88,6.10,69.49,45.11,0.0,69.49,39.01,0.0,78,77,Normal
89,7.26,69.49,39.01,0.0,63.4,35.05,0.0,78,79,Normal
90,3.96,63.4,35.05,0.0,63.4,39.01,0.0,79,80,Normal
91,8.63,63.4,39.01,0.0,57.3,45.11,0.0,81,80,Normal
92,8.62,51.21,51.21,0.0,57.3,45.11,0.0,52,81,Normal
93,8.61,63.4,35.05,0.0,69.49,28.96,0.0,79,82,Normal
94,6.10,69.49,28.96,0.0,75.59,28.96,0.0,83,82,Normal
95,6.09,63.4,16.76,0.0,69.49,16.76,0.0,73,84,Normal
96,8.63,69.49,16.76,0.0,75.59,22.86,0.0,85,84,Normal
97,6.10,75.59,28.96,0.0,75.59,22.86,0.0,83,85,Normal
98,8.62,75.59,28.96,0.0,81.69,35.05,0.0,86,83,Normal
99,6.09,81.69,35.05,0.0,87.78,35.05,0.0,86,87,Normal
100,7.27,87.78,35.05,0.0,93.88,39.01,0.0,88,87,Normal
101,6.10,93.88,45.11,0.0,93.88,39.01,0.0,88,45,Normal
102,6.09,87.78,35.05,0.0,87.78,28.96,0.0,89,87,Normal
103,8.63,87.78,28.96,0.0,93.88,22.86,0.0,89,90,Normal
104,6.09,93.88,22.86,0.0,99.97,22.86,0.0,89,90,Normal
105,6.09,63.4,10.67,0.0,69.49,10.67,0.0,92,74,Normal
106,8.63,69.49,10.67,0.0,75.59,4.57,0.0,92,93,Normal
107,6.10,75.59,4.57,0.0,81.69,4.57,0.0,94,93,Normal
108,8.62,81.69,4.57,0.0,87.78,10.67,0.0,94,95,Normal
109,6.10,87.78,10.67,0.0,93.88,10.67,0.0,96,95,Normal
110,8.63,75.59,22.86,0.0,81.69,16.76,0.0,85,97,Normal
111,6.09,81.69,16.76,0.0,87.78,16.76,0.0,98,97,Normal
112,8.62,93.88,10.67,0.0,87.78,16.76,0.0,96,98,Normal
113,8.61,93.88,10.67,0.0,99.97,16.76,0.0,96,99,Normal
114,6.10,10.67,57.3,0.0,4.57,57.3,0.0,100,22,Normal
115,3.97,51.21,4.57,0.0,47.24,4.57,0.0,71,76,Normal
116,8.62,63.4,35.05,0.0,57.3,28.96,0.0,79,69,Normal
117,6.10,99.97,22.86,0.0,99.97,16.76,0.0,91,99,Normal
118,6.09,28.96,35.05,0.0,28.96,28.96,0.0,59,16,Normal
119,8.63,81.69,69.49,0.0,75.59,75.59,0.0,101,39,Normal
120,6.09,81.69,69.49,0.0,81.69,63.4,0.0,39,102,Normal
121,8.63,75.59,57.3,0.0,81.69,63.4,0.0,48,102,Normal
122,6.09,87.78,51.21,0.0,81.69,51.21,0.0,46,44,Normal
123,8.62,75.59,57.3,0.0,81.69,51.21,0.0,46,48,Normal
124,6.10,81.69,51.21,0.0,81.69,45.11,0.0,103,46,Normal
125,6.10,81.69,45.11,0.0,81.69,39.01,0.0,103,104,Normal
126,3.96,81.69,35.05,0.0,81.69,39.01,0.0,86,104,Normal
127,8.62,81.69,45.11,0.0,87.78,39.01,0.0,103,105,Normal
128,6.10,93.88,39.01,0.0,87.78,39.01,0.0,88,105,Normal
129,8.62,93.88,39.01,0.0,99.97,45.11,0.0,88,106,Normal
130,6.10,75.59,22.86,0.0,81.69,22.86,0.0,85,107,Normal
131,8.62,87.78,16.76,0.0,81.69,22.86,0.0,98,107,Normal
132,8.63,93.88,22.86,0.0,87.78,16.76,0.0,98,90,Normal
133,6.10,75.59,22.86,0.0,75.59,16.76,0.0,109,108,Normal
134,8.62,75.59,16.76,0.0,81.69,10.67,0.0,109,108,Normal
135,6.10,81.69,4.57,0.0,81.69,10.67,0.0,109,94,Normal
136,6.10,57.3,69.49,0.0,57.3,75.59,0.0,110,35,Normal
137,4.28,57.3,75.59,0.0,53.99,78.3,0.0,110,111,Intercom
138,3.28,77.44,78.3,0.0,75.59,75.59,0.0,101,112,Intercom
139,8.62,57.3,63.4,0.0,51.21,57.3,0.0,113,34,Normal
140,6.09,51.21,51.21,0.0,51.21,57.3,0.0,113,52,Normal
141,8.62,57.3,45.11,0.0,51.21,39.01,0.0,81,114,Normal
142,3.97,47.24,39.01,0.0,51.21,39.01,0.0,55,114,Normal
143,6.10,57.3,45.11,0.0,57.3,39.01,0.0,116,115,Normal
144,7.26,57.3,39.01,0.0,51.21,35.05,0.0,116,115,Normal
145,6.09,51.21,28.96,0.0,51.21,35.05,0.0,116,68,Normal
146,6.10,51.21,28.96,0.0,51.21,22.86,0.0,117,68,Normal
147,6.09,57.3,22.86,0.0,51.21,22.86,0.0,72,117,Normal
148,8.62,51.21,22.86,0.0,57.3,16.76,0.0,117,118,Normal
149,6.09,57.3,16.76,0.0,57.3,10.67,0.0,119,118,Normal
150,6.10,57.3,4.57,0.0,57.3,10.67,0.0,119,75,Normal
151,3.87,57.3,4.57,0.0,54.47,1.93,0.0,75,120,Intercom
152,3.67,28.96,75.59,0.0,26.48,78.3,0.0,26,121,Intercom
153,4.52,26.48,78.3,0.0,22.86,75.59,0.0,122,121,Intercom
154,3.45,81.69,4.57,0.0,79.29,2.09,0.0,94,123,Intercom
155,6.10,22.86,69.49,0.0,22.86,75.59,0.0,122,25,Normal
156,8.63,22.86,57.3,0.0,28.96,63.4,0.0,21,28,Normal
157,8.62,22.86,57.3,0.0,28.96,51.21,0.0,21,124,Normal
158,6.10,28.96,51.21,0.0,28.96,45.11,0.0,125,124,Normal
159,6.10,28.96,39.01,0.0,28.96,45.11,0.0,125,17,Normal
160,7.27,22.86,35.05,0.0,28.96,39.01,0.0,15,17,Normal
161,6.09,22.86,35.05,0.0,22.86,28.96,0.0,15,126,Normal
162,8.63,22.86,28.96,0.0,28.96,22.86,0.0,127,126,Normal
163,8.63,22.86,16.76,0.0,28.96,22.86,0.0,60,127,Normal
164,6.10,28.96,22.86,0.0,28.96,16.76,0.0,127,128,Normal
165,8.62,28.96,16.76,0.0,22.86,10.67,0.0,129,128,Normal
166,6.10,22.86,4.57,0.0,22.86,10.67,0.0,129,2,Normal
167,3.83,22.86,4.57,0.0,25.64,1.93,0.0,2,130,Intercom
168,3.25,4.57,22.86,0.0,2.8,20.14,0.0,5,131,Intercom
169,6.10,4.57,22.86,0.0,10.67,22.86,0.0,5,132,Normal
170,6.09,16.76,22.86,0.0,10.67,22.86,0.0,6,132,Normal
171,8.63,16.76,22.86,0.0,22.86,16.76,0.0,60,6,Normal
172,8.62,35.05,16.76,0.0,28.96,22.86,0.0,62,127,Normal
173,6.09,41.15,16.76,0.0,47.24,16.76,0.0,64,133,Normal
174,7.28,51.21,22.86,0.0,47.24,16.76,0.0,117,133,Normal
175,8.62,63.4,16.76,0.0,69.49,22.86,0.0,73,134,Normal
176,6.10,75.59,22.86,0.0,69.49,22.86,0.0,85,134,Normal
177,6.10,22.86,39.01,0.0,16.76,39.01,0.0,14,135,Normal
178,8.62,16.76,39.01,0.0,10.67,45.11,0.0,136,135,Normal
179,8.63,10.67,45.11,0.0,4.57,39.01,0.0,137,136,Normal
180,3.90,4.57,39.01,0.0,2.8,42.49,0.0,137,138,Intercom
181,8.63,22.86,39.01,0.0,28.96,45.11,0.0,14,125,Normal
182,6.09,35.05,45.11,0.0,28.96,45.11,0.0,18,125,Normal
183,8.63,35.05,45.11,0.0,41.15,39.01,0.0,18,139,Normal
184,6.09,47.24,39.01,0.0,41.15,39.01,0.0,55,139,Normal
