ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID,Type
57,51.206402,35.051999,1.0668,47.243999,35.051999,1.0668,3.96,72,58,Normal
58,57.302399,63.39840000000001,1.0668,63.398399,69.49440100000001,1.0668,8.62,74,73,Normal
59,57.302399,35.051999,1.0668,51.206402,35.051999,1.0668,6.10,72,75,Normal
60,57.302399,45.110398,1.0668,57.302402,51.20640100000001,1.0668,6.10,71,76,Normal
61,57.302399,28.955998000000008,1.0668,63.398399,22.860001000000004,1.0668,8.62,78,77,Normal
62,57.302399,10.668000000000006,1.0668,51.206402,16.764001000000007,1.0668,8.62,70,66,Normal
63,57.302399,69.49440000000001,1.0668,51.206402,75.590399,2.7506,8.78,63,79,Normal
64,63.398399,69.49440100000001,1.0668,57.302399,69.49440000000001,1.0668,6.10,74,79,Normal
65,63.398399,41.148,1.0668,57.302399,45.110398,1.0668,7.27,80,76,Normal
66,63.398399,22.860001000000004,1.0668,63.398399,16.764001000000007,1.0668,6.10,78,81,Normal
67,63.398399,10.668000000000006,1.0668,63.398399,16.764001000000007,1.0668,6.10,82,81,Normal
68,63.398399,57.302397000000006,1.0668,69.4944,57.30239900000001,1.0668,6.10,83,84,Normal
69,69.4944,75.590399,2.7506,69.4944,69.49440000000001,1.0668,6.32,85,86,Normal
70,69.4944,35.051999,1.0668,69.4944,41.148,1.0668,6.10,88,87,Normal
71,69.4944,22.860001000000004,1.0668,75.590408,16.763997000000003,1.0668,8.62,90,89,Normal
72,69.4944,4.571999000000005,2.7914,72.5424,1.7462000000000018,4.8577,4.64,91,92,Intercom
73,69.4944,57.30239900000001,1.0668,75.590401,57.30239900000001,1.0668,6.10,93,84,Normal
74,69.4944,41.148,1.0668,69.4944,45.110398,1.0668,3.96,94,88,Normal
75,69.4944,45.110398,1.0668,75.590401,51.20640100000001,1.0668,8.62,94,95,Normal
76,69.4944,63.398398,1.0668,75.590401,69.49440100000001,1.0668,8.62,97,96,Normal
77,72.5424,78.4162,4.8577,75.590401,75.590399,2.7506,4.66,99,98,Intercom
78,72.5424,1.7462000000000018,4.8577,75.590401,4.571999000000005,2.7914,4.64,100,92,Intercom
79,75.590401,75.590399,2.7506,81.686401,69.49440000000001,1.0668,8.78,99,101,Normal
80,75.590393,28.955994000000004,1.0668,81.686401,22.860001000000004,1.0668,8.62,102,103,Normal
