ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID,Type
59,57.3024,35.05200000000001,1.0668,51.3679,35.030800000000006,1.0668,5.93,72,75,Normal
60,57.3024,45.110400000000006,1.0668,57.3024,51.2064,1.0668,6.10,71,76,Normal
61,57.3024,28.956000000000003,1.0668,63.3984,22.860000000000007,1.0668,8.62,78,77,Normal
62,57.3024,10.668000000000006,1.0668,51.2032,16.714800000000004,1.0668,8.59,70,66,Normal
63,57.3024,69.49440000000001,1.0668,51.2479,75.598,2.7506,8.76,63,79,Normal
64,63.3984,69.49440000000001,1.0668,57.3024,69.49440000000001,1.0668,6.10,74,79,Normal
65,63.3984,41.148,1.0668,57.3024,45.110400000000006,1.0668,7.27,80,76,Normal
66,63.3984,22.860000000000007,1.0668,63.3984,16.764000000000003,1.0668,6.10,78,81,Normal
67,63.3984,10.668000000000006,1.0668,63.3984,16.764000000000003,1.0668,6.10,82,81,Normal
68,63.3984,57.302400000000006,1.0668,69.4944,57.302400000000006,1.0668,6.10,83,84,Normal
69,69.4944,75.5879,2.7506,69.4944,69.49440000000001,1.0668,6.32,85,86,Normal
70,69.4944,35.05200000000001,1.0668,69.4944,41.148,1.0668,6.10,88,87,Normal
71,69.4944,22.860000000000007,1.0668,75.5904,16.764000000000003,1.0668,8.62,90,89,Normal
72,69.4944,4.5745000000000005,2.7914,72.5424,1.7462000000000018,4.8577,4.64,91,92,Intercom
73,69.4944,57.302400000000006,1.0668,75.5904,57.302400000000006,1.0668,6.10,93,84,Normal
74,69.4944,41.148,1.0668,69.4944,45.110400000000006,1.0668,3.96,94,88,Normal
75,69.4944,45.110400000000006,1.0668,75.5904,51.2064,1.0668,8.62,94,95,Normal
76,69.4944,63.39840000000001,1.0668,75.5904,69.49440000000001,1.0668,8.62,97,96,Normal
77,72.5424,78.4162,4.8577,75.5904,75.5879,2.7506,4.66,99,98,Intercom
78,72.5424,1.7462000000000018,4.8577,75.5904,4.5745000000000005,2.7914,4.64,100,92,Intercom
79,75.5904,75.5879,2.7506,81.6864,69.49440000000001,1.0668,8.78,99,101,Normal
80,75.5904,28.956000000000003,1.0668,81.6864,22.860000000000007,1.0668,8.62,103,102,Normal
81,75.5904,10.668000000000006,1.0668,75.5904,16.764000000000003,1.0668,6.10,90,104,Normal
