ID,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Type,Start_Pillar,End_Pillar
129,75.5348,75.4783,2.7420,81.6778,69.4965,1.1160,Normal,P124,P118
130,93.8414,57.2767,1.0670,87.7862,57.2767,1.0670,Normal,P99,P98
131,75.5348,51.2651,1.0670,69.5405,45.1066,1.0670,Normal,P87,P77
132,69.5405,45.1066,1.0670,63.3785,39.0475,1.0670,Normal,P77,P67
133,63.3785,39.0475,1.0670,57.2837,35.0487,1.0670,Normal,P67,P59
134,57.2837,35.0487,1.0670,57.2837,28.9179,1.0670,Normal,P59,P50
135,57.2837,28.9179,1.0670,51.2516,28.9179,1.0670,Normal,P50,P49
136,51.2516,22.9070,1.0670,47.2353,28.9179,1.0670,Normal,P35,P48
137,51.2516,16.7456,1.0670,47.2353,10.6566,1.0670,Normal,P26,P16
138,47.2353,10.6566,1.0670,41.1624,10.6566,1.0670,Normal,P16,P15
139,35.0212,10.6566,1.1330,35.0212,4.6516,2.6840,Normal,P14,P6
140,10.6802,16.7456,1.0670,16.7590,10.6566,1.0670,Normal,P24,P12
141,22.8369,10.6566,1.1150,28.9799,4.6516,2.7030,Normal,P13,P5
142,75.5348,22.9070,1.0670,75.5348,28.9179,1.0670,Normal,P38,P51
143,75.5348,22.9070,1.0670,81.6778,28.9179,1.0670,Normal,P38,P52
144,81.6778,28.9179,1.0670,87.7862,22.9070,1.0670,Normal,P52,P39
145,93.8414,28.9179,1.1360,99.9323,28.9179,2.7410,Normal,P53,P54
146,87.7862,35.0487,1.0670,87.7862,39.0475,1.0670,Normal,P61,P69
147,87.7862,39.0475,1.0670,93.8414,39.0475,1.0670,Normal,P69,P70
148,99.9323,22.9070,2.7600,93.8414,16.7456,1.1160,Normal,P41,P29
149,63.3785,10.6566,1.0670,57.2837,16.7456,1.0670,Normal,P18,P27
150,47.2353,45.1066,1.0670,41.1624,39.0475,1.0670,Normal,P74,P65
