Pillar,px,py,pz
0,47.2439994812012,4.57200050354004,2.59080004692078
1,99.9744033813477,4.57200050354004,2.59080004692078
2,10.6679992675781,10.6679992675781,0.457199990749359
3,16.7639999389648,10.6680002212524,0.457199990749359
4,22.8600006103516,10.6679992675781,0.457199990749359
5,28.9560012817383,10.6680002212524,0.457199990749359
6,35.052001953125,10.6679992675781,0.457199990749359
7,41.1479988098145,10.6680002212524,0.457199990749359
8,47.2439994812012,10.6679992675781,0.457199990749359
9,51.2064018249512,10.6679992675781,0.457199990749359
10,69.4944000244141,10.6680002212524,0.457199990749359
11,63.3983993530273,10.6679992675781,0.457199990749359
12,81.6864013671875,10.6680002212524,0.457199990749359
13,87.7824020385742,10.6679992675781,0.457199990749359
14,75.5904006958008,10.6679992675781,0.457199990749359
15,93.8784027099609,10.6680002212524,0.457199990749359
16,57.3023986816406,10.6680002212524,0.457199990749359
17,10.6679992675781,16.7639999389648,0.457199990749359
18,81.6864013671875,16.7639999389648,0.457199990749359
19,69.4944000244141,16.7640018463135,0.457199990749359
20,63.3983993530273,16.7639999389648,0.457199990749359
21,87.7824020385742,16.7639999389648,0.457199990749359
22,75.5904006958008,16.7639999389648,0.457199990749359
23,93.8784027099609,16.7640018463135,0.457199990749359
24,57.3023986816406,16.7639999389648,0.457199990749359
25,51.2064018249512,16.7639999389648,0.457199990749359
26,47.2439994812012,16.7639999389648,0.457199990749359
27,35.052001953125,16.7639999389648,0.457199990749359
28,16.7639999389648,16.7640018463135,0.457199990749359
29,41.1479988098145,16.7639999389648,0.457199990749359
30,28.9560012817383,16.7639999389648,0.457199990749359
31,22.8600006103516,16.7639999389648,0.457199990749359
32,35.052001953125,22.8600006103516,0.457199990749359
33,22.8600006103516,22.8600006103516,0.457199990749359
34,28.9560012817383,22.8600006103516,0.457199990749359
35,69.4944000244141,22.8600006103516,0.457199990749359
36,16.7639999389648,22.8600006103516,0.457199990749359
37,41.1479988098145,22.8600006103516,0.457199990749359
